word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10
משכמה,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.6,2,0.4,2
שכשבכ,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.3,2,0.363636363636364,1
שכשכב,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.3,2
שכשככ,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.363636363636364,1
שכשכל,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.727272727272727,1
שכשכמ,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.6,2
שכשלכ,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1
שכשמה,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.6,2,0.4,2
שכשמכ,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.6,2,0.363636363636364,1
שלכשב,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.3,2
שלכשה,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.4,2
שלכשכ,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1
שלכשל,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1
שלכשמ,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.6,2
שמשבכ,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.3,2,0.363636363636364,1
שמשכב,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.3,2
שמשככ,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.363636363636364,1
שמשכל,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.727272727272727,1
שמשכמ,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.6,2
שמשלכ,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1
שמשמה,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.6,2,0.4,2
שמשמכ,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.6,2,0.363636363636364,1
