word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10
abune,0.1,0.5,0.625,1,0.636363636363636,0,0.75,1,0.272727272727273,0
abura,0.1,0.5,0.625,1,0.636363636363636,0,0.363636363636364,0,0.1,0.5
abuse,0.1,0.5,0.625,1,0.636363636363636,0,0.2,0.5,0.272727272727273,0
abush,0.1,0.5,0.625,1,0.636363636363636,0,0.2,0.5,0.6,0.5
abuta,0.1,0.5,0.625,1,0.636363636363636,0,0.454545454545455,0,0.1,0.5
abuts,0.1,0.5,0.625,1,0.636363636363636,0,0.454545454545455,0,0.2,0.5
abuzz,0.1,0.5,0.625,1,0.636363636363636,0,0.125,1,0.125,1
abwab,0.1,0.5,0.625,1,0.181818181818182,0,0.1,0.5,0.625,1
acale,0.1,0.5,0.375,1,0.1,0.5,0.9,0.5,0.272727272727273,0
acana,0.1,0.5,0.375,1,0.1,0.5,0.75,1,0.1,0.5
acapu,0.1,0.5,0.375,1,0.1,0.5,0.909090909090909,0,0.636363636363636,0
acara,0.1,0.5,0.375,1,0.1,0.5,0.363636363636364,0,0.1,0.5
acari,0.1,0.5,0.375,1,0.1,0.5,0.363636363636364,0,0.727272727272727,0
acast,0.1,0.5,0.375,1,0.1,0.5,0.2,0.5,0.454545454545455,0
acate,0.1,0.5,0.375,1,0.1,0.5,0.454545454545455,0,0.272727272727273,0
accel,0.1,0.5,0.375,1,0.375,1,0.272727272727273,0,0.9,0.5
accoy,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.545454545454545,0
accra,0.1,0.5,0.375,1,0.375,1,0.363636363636364,0,0.1,0.5
accts,0.1,0.5,0.375,1,0.375,1,0.454545454545455,0,0.2,0.5
accum,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.875,1
accur,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.363636363636364,0
accus,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.2,0.5
acedy,0.1,0.5,0.375,1,0.272727272727273,0,0.3,0.5,0.545454545454545,0
acerb,0.1,0.5,0.375,1,0.272727272727273,0,0.363636363636364,0,0.625,1
aceta,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.1,0.5
achar,0.1,0.5,0.375,1,0.6,0.5,0.1,0.5,0.363636363636364,0
ached,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.3,0.5
achen,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.75,1
acher,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.363636363636364,0
aches,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.2,0.5
achoo,0.1,0.5,0.375,1,0.6,0.5,0.818181818181818,0,0.818181818181818,0
achor,0.1,0.5,0.375,1,0.6,0.5,0.818181818181818,0,0.363636363636364,0
acidy,0.1,0.5,0.375,1,0.727272727272727,0,0.3,0.5,0.545454545454545,0
acids,0.1,0.5,0.375,1,0.727272727272727,0,0.3,0.5,0.2,0.5
acier,0.1,0.5,0.375,1,0.727272727272727,0,0.272727272727273,0,0.363636363636364,0
acies,0.1,0.5,0.375,1,0.727272727272727,0,0.272727272727273,0,0.2,0.5
acyls,0.1,0.5,0.375,1,0.545454545454545,0,0.9,0.5,0.2,0.5
acing,0.1,0.5,0.375,1,0.727272727272727,0,0.75,1,0.5,0.5
acini,0.1,0.5,0.375,1,0.727272727272727,0,0.75,1,0.727272727272727,0
ackee,0.1,0.5,0.375,1,0.8,0.5,0.272727272727273,0,0.272727272727273,0
ackey,0.1,0.5,0.375,1,0.8,0.5,0.272727272727273,0,0.545454545454545,0
acker,0.1,0.5,0.375,1,0.8,0.5,0.272727272727273,0,0.363636363636364,0
aclys,0.1,0.5,0.375,1,0.9,0.5,0.545454545454545,0,0.2,0.5
acmes,0.1,0.5,0.375,1,0.875,1,0.272727272727273,0,0.2,0.5
acmic,0.1,0.5,0.375,1,0.875,1,0.727272727272727,0,0.375,1
