word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12
abonne,0.1,0.5,0.625,1,0.818181818181818,0,0.75,1,0.75,1,0.272727272727273,0
aborad,0.1,0.5,0.625,1,0.818181818181818,0,0.363636363636364,0,0.1,0.5,0.3,0.5
aboral,0.1,0.5,0.625,1,0.818181818181818,0,0.363636363636364,0,0.1,0.5,0.9,0.5
aborts,0.1,0.5,0.625,1,0.818181818181818,0,0.363636363636364,0,0.454545454545455,0,0.2,0.5
abound,0.1,0.5,0.625,1,0.818181818181818,0,0.636363636363636,0,0.75,1,0.3,0.5
abouts,0.1,0.5,0.625,1,0.818181818181818,0,0.636363636363636,0,0.454545454545455,0,0.2,0.5
aboves,0.1,0.5,0.625,1,0.818181818181818,0,0.5,1,0.272727272727273,0,0.2,0.5
abrade,0.1,0.5,0.625,1,0.363636363636364,0,0.1,0.5,0.3,0.5,0.272727272727273,0
abraid,0.1,0.5,0.625,1,0.363636363636364,0,0.1,0.5,0.727272727272727,0,0.3,0.5
abrase,0.1,0.5,0.625,1,0.363636363636364,0,0.1,0.5,0.2,0.5,0.272727272727273,0
abrash,0.1,0.5,0.625,1,0.363636363636364,0,0.1,0.5,0.2,0.5,0.6,0.5
abraum,0.1,0.5,0.625,1,0.363636363636364,0,0.1,0.5,0.636363636363636,0,0.875,1
abrazo,0.1,0.5,0.625,1,0.363636363636364,0,0.1,0.5,0.125,1,0.818181818181818,0
abreed,0.1,0.5,0.625,1,0.363636363636364,0,0.272727272727273,0,0.272727272727273,0,0.3,0.5
abrege,0.1,0.5,0.625,1,0.363636363636364,0,0.272727272727273,0,0.5,0.5,0.272727272727273,0
abreid,0.1,0.5,0.625,1,0.363636363636364,0,0.272727272727273,0,0.727272727272727,0,0.3,0.5
abrico,0.1,0.5,0.625,1,0.363636363636364,0,0.727272727272727,0,0.375,1,0.818181818181818,0
abrine,0.1,0.5,0.625,1,0.363636363636364,0,0.727272727272727,0,0.75,1,0.272727272727273,0
abroad,0.1,0.5,0.625,1,0.363636363636364,0,0.818181818181818,0,0.1,0.5,0.3,0.5
abroma,0.1,0.5,0.625,1,0.363636363636364,0,0.818181818181818,0,0.875,1,0.1,0.5
abrood,0.1,0.5,0.625,1,0.363636363636364,0,0.818181818181818,0,0.818181818181818,0,0.3,0.5
abrook,0.1,0.5,0.625,1,0.363636363636364,0,0.818181818181818,0,0.818181818181818,0,0.8,0.5
abrupt,0.1,0.5,0.625,1,0.363636363636364,0,0.636363636363636,0,0.909090909090909,0,0.454545454545455,0
abscam,0.1,0.5,0.625,1,0.2,0.5,0.375,1,0.1,0.5,0.875,1
abseil,0.1,0.5,0.625,1,0.2,0.5,0.272727272727273,0,0.727272727272727,0,0.9,0.5
absent,0.1,0.5,0.625,1,0.2,0.5,0.272727272727273,0,0.75,1,0.454545454545455,0
absist,0.1,0.5,0.625,1,0.2,0.5,0.727272727272727,0,0.2,0.5,0.454545454545455,0
absmho,0.1,0.5,0.625,1,0.2,0.5,0.875,1,0.6,0.5,0.818181818181818,0
absohm,0.1,0.5,0.625,1,0.2,0.5,0.818181818181818,0,0.6,0.5,0.875,1
absoil,0.1,0.5,0.625,1,0.2,0.5,0.818181818181818,0,0.727272727272727,0,0.9,0.5
absorb,0.1,0.5,0.625,1,0.2,0.5,0.818181818181818,0,0.363636363636364,0,0.625,1
absume,0.1,0.5,0.625,1,0.2,0.5,0.636363636363636,0,0.875,1,0.272727272727273,0
absurd,0.1,0.5,0.625,1,0.2,0.5,0.636363636363636,0,0.363636363636364,0,0.3,0.5
abucco,0.1,0.5,0.625,1,0.636363636363636,0,0.375,1,0.375,1,0.818181818181818,0
abulia,0.1,0.5,0.625,1,0.636363636363636,0,0.9,0.5,0.727272727272727,0,0.1,0.5
abulic,0.1,0.5,0.625,1,0.636363636363636,0,0.9,0.5,0.727272727272727,0,0.375,1
aburst,0.1,0.5,0.625,1,0.636363636363636,0,0.363636363636364,0,0.2,0.5,0.454545454545455,0
abused,0.1,0.5,0.625,1,0.636363636363636,0,0.2,0.5,0.272727272727273,0,0.3,0.5
abusee,0.1,0.5,0.625,1,0.636363636363636,0,0.2,0.5,0.272727272727273,0,0.272727272727273,0
abuser,0.1,0.5,0.625,1,0.636363636363636,0,0.2,0.5,0.272727272727273,0,0.363636363636364,0
abuses,0.1,0.5,0.625,1,0.636363636363636,0,0.2,0.5,0.272727272727273,0,0.2,0.5
abvolt,0.1,0.5,0.625,1,0.5,1,0.818181818181818,0,0.9,0.5,0.454545454545455,0
abwatt,0.1,0.5,0.625,1,0.181818181818182,0,0.1,0.5,0.454545454545455,0,0.454545454545455,0
acacia,0.1,0.5,0.375,1,0.1,0.5,0.375,1,0.727272727272727,0,0.1,0.5
acacin,0.1,0.5,0.375,1,0.1,0.5,0.375,1,0.727272727272727,0,0.75,1
acadia,0.1,0.5,0.375,1,0.1,0.5,0.3,0.5,0.727272727272727,0,0.1,0.5
acadie,0.1,0.5,0.375,1,0.1,0.5,0.3,0.5,0.727272727272727,0,0.272727272727273,0
acaena,0.1,0.5,0.375,1,0.1,0.5,0.272727272727273,0,0.75,1,0.1,0.5
acajou,0.1,0.5,0.375,1,0.1,0.5,0.7,0.5,0.818181818181818,0,0.636363636363636,0
acamar,0.1,0.5,0.375,1,0.1,0.5,0.875,1,0.1,0.5,0.363636363636364,0
acanth,0.1,0.5,0.375,1,0.1,0.5,0.75,1,0.454545454545455,0,0.6,0.5
acarid,0.1,0.5,0.375,1,0.1,0.5,0.363636363636364,0,0.727272727272727,0,0.3,0.5
acarol,0.1,0.5,0.375,1,0.1,0.5,0.363636363636364,0,0.818181818181818,0,0.9,0.5
acarus,0.1,0.5,0.375,1,0.1,0.5,0.363636363636364,0,0.636363636363636,0,0.2,0.5
acater,0.1,0.5,0.375,1,0.1,0.5,0.454545454545455,0,0.272727272727273,0,0.363636363636364,0
acates,0.1,0.5,0.375,1,0.1,0.5,0.454545454545455,0,0.272727272727273,0,0.2,0.5
accede,0.1,0.5,0.375,1,0.375,1,0.272727272727273,0,0.3,0.5,0.272727272727273,0
accend,0.1,0.5,0.375,1,0.375,1,0.272727272727273,0,0.75,1,0.3,0.5
accent,0.1,0.5,0.375,1,0.375,1,0.272727272727273,0,0.75,1,0.454545454545455,0
accept,0.1,0.5,0.375,1,0.375,1,0.272727272727273,0,0.909090909090909,0,0.454545454545455,0
access,0.1,0.5,0.375,1,0.375,1,0.272727272727273,0,0.2,0.5,0.2,0.5
accise,0.1,0.5,0.375,1,0.375,1,0.727272727272727,0,0.2,0.5,0.272727272727273,0
accite,0.1,0.5,0.375,1,0.375,1,0.727272727272727,0,0.454545454545455,0,0.272727272727273,0
accloy,0.1,0.5,0.375,1,0.375,1,0.9,0.5,0.818181818181818,0,0.545454545454545,0
accoil,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.727272727272727,0,0.9,0.5
accoll,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.9,0.5,0.9,0.5
accord,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.363636363636364,0,0.3,0.5
accost,0.1,0.5,0.375,1,0.375,1,0.818181818181818,0,0.2,0.5,0.454545454545455,0
accrue,0.1,0.5,0.375,1,0.375,1,0.363636363636364,0,0.636363636363636,0,0.272727272727273,0
accumb,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.875,1,0.625,1
accupy,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.909090909090909,0,0.545454545454545,0
accuse,0.1,0.5,0.375,1,0.375,1,0.636363636363636,0,0.2,0.5,0.272727272727273,0
acedia,0.1,0.5,0.375,1,0.272727272727273,0,0.3,0.5,0.727272727272727,0,0.1,0.5
aceite,0.1,0.5,0.375,1,0.272727272727273,0,0.727272727272727,0,0.454545454545455,0,0.272727272727273,0
acerae,0.1,0.5,0.375,1,0.272727272727273,0,0.363636363636364,0,0.1,0.5,0.272727272727273,0
aceric,0.1,0.5,0.375,1,0.272727272727273,0,0.363636363636364,0,0.727272727272727,0,0.375,1
acerin,0.1,0.5,0.375,1,0.272727272727273,0,0.363636363636364,0,0.727272727272727,0,0.75,1
acerli,0.1,0.5,0.375,1,0.272727272727273,0,0.363636363636364,0,0.9,0.5,0.727272727272727,0
acerra,0.1,0.5,0.375,1,0.272727272727273,0,0.363636363636364,0,0.363636363636364,0,0.1,0.5
acetal,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.1,0.5,0.9,0.5
acetic,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.727272727272727,0,0.375,1
acetyl,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.545454545454545,0,0.9,0.5
acetin,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.727272727272727,0,0.75,1
acetla,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.9,0.5,0.1,0.5
acetol,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.818181818181818,0,0.9,0.5
acetum,0.1,0.5,0.375,1,0.272727272727273,0,0.454545454545455,0,0.636363636363636,0,0.875,1
achafe,0.1,0.5,0.375,1,0.6,0.5,0.1,0.5,0.4,0.5,0.272727272727273,0
achage,0.1,0.5,0.375,1,0.6,0.5,0.1,0.5,0.5,0.5,0.272727272727273,0
achape,0.1,0.5,0.375,1,0.6,0.5,0.1,0.5,0.909090909090909,0,0.272727272727273,0
achate,0.1,0.5,0.375,1,0.6,0.5,0.1,0.5,0.454545454545455,0,0.272727272727273,0
acheat,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.1,0.5,0.454545454545455,0
achech,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.375,1,0.6,0.5
acheck,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.375,1,0.8,0.5
acheer,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.272727272727273,0,0.363636363636364,0
achene,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.75,1,0.272727272727273,0
achete,0.1,0.5,0.375,1,0.6,0.5,0.272727272727273,0,0.454545454545455,0,0.272727272727273,0
achier,0.1,0.5,0.375,1,0.6,0.5,0.727272727272727,0,0.272727272727273,0,0.363636363636364,0
achill,0.1,0.5,0.375,1,0.6,0.5,0.727272727272727,0,0.9,0.5,0.9,0.5
achime,0.1,0.5,0.375,1,0.6,0.5,0.727272727272727,0,0.875,1,0.272727272727273,0
aching,0.1,0.5,0.375,1,0.6,0.5,0.727272727272727,0,0.75,1,0.5,0.5
achira,0.1,0.5,0.375,1,0.6,0.5,0.727272727272727,0,0.363636363636364,0,0.1,0.5
achkan,0.1,0.5,0.375,1,0.6,0.5,0.8,0.5,0.1,0.5,0.75,1
achoke,0.1,0.5,0.375,1,0.6,0.5,0.818181818181818,0,0.8,0.5,0.272727272727273,0
achras,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.1,0.5,0.2,0.5
achree,0.1,0.5,0.375,1,0.6,0.5,0.363636363636364,0,0.272727272727273,0,0.272727272727273,0
achtel,0.1,0.5,0.375,1,0.6,0.5,0.454545454545455,0,0.272727272727273,0,0.9,0.5
achter,0.1,0.5,0.375,1,0.6,0.5,0.454545454545455,0,0.272727272727273,0,0.363636363636364,0
achuas,0.1,0.5,0.375,1,0.6,0.5,0.636363636363636,0,0.1,0.5,0.2,0.5
acider,0.1,0.5,0.375,1,0.727272727272727,0,0.3,0.5,0.272727272727273,0,0.363636363636364,0
acidic,0.1,0.5,0.375,1,0.727272727272727,0,0.3,0.5,0.727272727272727,0,0.375,1
acidyl,0.1,0.5,0.375,1,0.727272727272727,0,0.3,0.5,0.545454545454545,0,0.9,0.5
acidly,0.1,0.5,0.375,1,0.727272727272727,0,0.3,0.5,0.9,0.5,0.545454545454545,0
acylal,0.1,0.5,0.375,1,0.545454545454545,0,0.9,0.5,0.1,0.5,0.9,0.5
acinar,0.1,0.5,0.375,1,0.727272727272727,0,0.75,1,0.1,0.5,0.363636363636364,0
acinic,0.1,0.5,0.375,1,0.727272727272727,0,0.75,1,0.727272727272727,0,0.375,1
acinus,0.1,0.5,0.375,1,0.727272727272727,0,0.75,1,0.636363636363636,0,0.2,0.5
ackees,0.1,0.5,0.375,1,0.8,0.5,0.272727272727273,0,0.272727272727273,0,0.2,0.5
ackeys,0.1,0.5,0.375,1,0.8,0.5,0.272727272727273,0,0.545454545454545,0,0.2,0.5
ackman,0.1,0.5,0.375,1,0.8,0.5,0.875,1,0.1,0.5,0.75,1
ackmen,0.1,0.5,0.375,1,0.8,0.5,0.875,1,0.272727272727273,0,0.75,1
acknew,0.1,0.5,0.375,1,0.8,0.5,0.75,1,0.272727272727273,0,0.181818181818182,0
acknow,0.1,0.5,0.375,1,0.8,0.5,0.75,1,0.818181818181818,0,0.181818181818182,0
ackton,0.1,0.5,0.375,1,0.8,0.5,0.454545454545455,0,0.818181818181818,0,0.75,1
acloud,0.1,0.5,0.375,1,0.9,0.5,0.818181818181818,0,0.636363636363636,0,0.3,0.5
acmaea,0.1,0.5,0.375,1,0.875,1,0.1,0.5,0.272727272727273,0,0.1,0.5
acmite,0.1,0.5,0.375,1,0.875,1,0.727272727272727,0,0.454545454545455,0,0.272727272727273,0
acnida,0.1,0.5,0.375,1,0.75,1,0.727272727272727,0,0.3,0.5,0.1,0.5
acnode,0.1,0.5,0.375,1,0.75,1,0.818181818181818,0,0.3,0.5,0.272727272727273,0
acoasm,0.1,0.5,0.375,1,0.818181818181818,0,0.1,0.5,0.2,0.5,0.875,1
acoela,0.1,0.5,0.375,1,0.818181818181818,0,0.272727272727273,0,0.9,0.5,0.1,0.5
acoine,0.1,0.5,0.375,1,0.818181818181818,0,0.727272727272727,0,0.75,1,0.272727272727273,0
acomia,0.1,0.5,0.375,1,0.818181818181818,0,0.875,1,0.727272727272727,0,0.1,0.5
aconic,0.1,0.5,0.375,1,0.818181818181818,0,0.75,1,0.727272727272727,0,0.375,1
aconin,0.1,0.5,0.375,1,0.818181818181818,0,0.75,1,0.727272727272727,0,0.75,1
acopic,0.1,0.5,0.375,1,0.818181818181818,0,0.909090909090909,0,0.727272727272727,0,0.375,1
acopon,0.1,0.5,0.375,1,0.818181818181818,0,0.909090909090909,0,0.818181818181818,0,0.75,1
acorea,0.1,0.5,0.375,1,0.818181818181818,0,0.363636363636364,0,0.272727272727273,0,0.1,0.5
acoria,0.1,0.5,0.375,1,0.818181818181818,0,0.363636363636364,0,0.727272727272727,0,0.1,0.5
acorns,0.1,0.5,0.375,1,0.818181818181818,0,0.363636363636364,0,0.75,1,0.2,0.5
acorus,0.1,0.5,0.375,1,0.818181818181818,0,0.363636363636364,0,0.636363636363636,0,0.2,0.5
acoupa,0.1,0.5,0.375,1,0.818181818181818,0,0.636363636363636,0,0.909090909090909,0,0.1,0.5
acoupe,0.1,0.5,0.375,1,0.818181818181818,0,0.636363636363636,0,0.909090909090909,0,0.272727272727273,0
acquit,0.1,0.5,0.375,1,0.0909090909090909,0,0.636363636363636,0,0.727272727272727,0,0.454545454545455,0
acracy,0.1,0.5,0.375,1,0.363636363636364,0,0.1,0.5,0.375,1,0.545454545454545,0
acrasy,0.1,0.5,0.375,1,0.363636363636364,0,0.1,0.5,0.2,0.5,0.545454545454545,0
acrawl,0.1,0.5,0.375,1,0.363636363636364,0,0.1,0.5,0.181818181818182,0,0.9,0.5
acraze,0.1,0.5,0.375,1,0.363636363636364,0,0.1,0.5,0.125,1,0.272727272727273,0
acreak,0.1,0.5,0.375,1,0.363636363636364,0,0.272727272727273,0,0.1,0.5,0.8,0.5
acream,0.1,0.5,0.375,1,0.363636363636364,0,0.272727272727273,0,0.1,0.5,0.875,1
acrisy,0.1,0.5,0.375,1,0.363636363636364,0,0.727272727272727,0,0.2,0.5,0.545454545454545,0
acrita,0.1,0.5,0.375,1,0.363636363636364,0,0.727272727272727,0,0.454545454545455,0,0.1,0.5
acrite,0.1,0.5,0.375,1,0.363636363636364,0,0.727272727272727,0,0.454545454545455,0,0.272727272727273,0
acrity,0.1,0.5,0.375,1,0.363636363636364,0,0.727272727272727,0,0.454545454545455,0,0.545454545454545,0
acrock,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.375,1,0.8,0.5
acrook,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.818181818181818,0,0.8,0.5
acrose,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.2,0.5,0.272727272727273,0
across,0.1,0.5,0.375,1,0.363636363636364,0,0.818181818181818,0,0.2,0.5,0.2,0.5
actaea,0.1,0.5,0.375,1,0.454545454545455,0,0.1,0.5,0.272727272727273,0,0.1,0.5
actiad,0.1,0.5,0.375,1,0.454545454545455,0,0.727272727272727,0,0.1,0.5,0.3,0.5
