word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8
ajog,0.1,0.5,0.7,0.5,0.818181818181818,0,0.5,0.5
akal,0.1,0.5,0.8,0.5,0.1,0.5,0.9,0.5
akan,0.1,0.5,0.8,0.5,0.1,0.5,0.75,1
aked,0.1,0.5,0.8,0.5,0.272727272727273,0,0.3,0.5
akee,0.1,0.5,0.8,0.5,0.272727272727273,0,0.272727272727273,0
akey,0.1,0.5,0.8,0.5,0.272727272727273,0,0.545454545454545,0
aker,0.1,0.5,0.8,0.5,0.272727272727273,0,0.363636363636364,0
akha,0.1,0.5,0.8,0.5,0.6,0.5,0.1,0.5
akia,0.1,0.5,0.8,0.5,0.727272727272727,0,0.1,0.5
akim,0.1,0.5,0.8,0.5,0.727272727272727,0,0.875,1
akin,0.1,0.5,0.8,0.5,0.727272727272727,0,0.75,1
akka,0.1,0.5,0.8,0.5,0.8,0.5,0.1,0.5
akov,0.1,0.5,0.8,0.5,0.818181818181818,0,0.5,1
akra,0.1,0.5,0.8,0.5,0.363636363636364,0,0.1,0.5
akre,0.1,0.5,0.8,0.5,0.363636363636364,0,0.272727272727273,0
alae,0.1,0.5,0.9,0.5,0.1,0.5,0.272727272727273,0
alai,0.1,0.5,0.9,0.5,0.1,0.5,0.727272727272727,0
alay,0.1,0.5,0.9,0.5,0.1,0.5,0.545454545454545,0
alan,0.1,0.5,0.9,0.5,0.1,0.5,0.75,1
alap,0.1,0.5,0.9,0.5,0.1,0.5,0.909090909090909,0
alar,0.1,0.5,0.9,0.5,0.1,0.5,0.363636363636364,0
alas,0.1,0.5,0.9,0.5,0.1,0.5,0.2,0.5
alba,0.1,0.5,0.9,0.5,0.625,1,0.1,0.5
albe,0.1,0.5,0.9,0.5,0.625,1,0.272727272727273,0
albi,0.1,0.5,0.9,0.5,0.625,1,0.727272727272727,0
albs,0.1,0.5,0.9,0.5,0.625,1,0.2,0.5
alca,0.1,0.5,0.9,0.5,0.375,1,0.1,0.5
alce,0.1,0.5,0.9,0.5,0.375,1,0.272727272727273,0
alco,0.1,0.5,0.9,0.5,0.375,1,0.818181818181818,0
aldm,0.1,0.5,0.9,0.5,0.3,0.5,0.875,1
alea,0.1,0.5,0.9,0.5,0.272727272727273,0,0.1,0.5
alec,0.1,0.5,0.9,0.5,0.272727272727273,0,0.375,1
alee,0.1,0.5,0.9,0.5,0.272727272727273,0,0.272727272727273,0
alef,0.1,0.5,0.9,0.5,0.272727272727273,0,0.4,0.5
alem,0.1,0.5,0.9,0.5,0.272727272727273,0,0.875,1
alen,0.1,0.5,0.9,0.5,0.272727272727273,0,0.75,1
ales,0.1,0.5,0.9,0.5,0.272727272727273,0,0.2,0.5
alew,0.1,0.5,0.9,0.5,0.272727272727273,0,0.181818181818182,0
alex,0.1,0.5,0.9,0.5,0.272727272727273,0,0.25,1
alfa,0.1,0.5,0.9,0.5,0.4,0.5,0.1,0.5
alga,0.1,0.5,0.9,0.5,0.5,0.5,0.1,0.5
algy,0.1,0.5,0.9,0.5,0.5,0.5,0.545454545454545,0
alia,0.1,0.5,0.9,0.5,0.727272727272727,0,0.1,0.5
alya,0.1,0.5,0.9,0.5,0.545454545454545,0,0.1,0.5
alif,0.1,0.5,0.9,0.5,0.727272727272727,0,0.4,0.5
alii,0.1,0.5,0.9,0.5,0.727272727272727,0,0.727272727272727,0
alin,0.1,0.5,0.9,0.5,0.727272727272727,0,0.75,1
alit,0.1,0.5,0.9,0.5,0.727272727272727,0,0.454545454545455,0
alix,0.1,0.5,0.9,0.5,0.727272727272727,0,0.25,1
alky,0.1,0.5,0.9,0.5,0.8,0.5,0.545454545454545,0
alle,0.1,0.5,0.9,0.5,0.9,0.5,0.272727272727273,0
ally,0.1,0.5,0.9,0.5,0.9,0.5,0.545454545454545,0
allo,0.1,0.5,0.9,0.5,0.9,0.5,0.818181818181818,0
alls,0.1,0.5,0.9,0.5,0.9,0.5,0.2,0.5
alma,0.1,0.5,0.9,0.5,0.875,1,0.1,0.5
alme,0.1,0.5,0.9,0.5,0.875,1,0.272727272727273,0
alms,0.1,0.5,0.9,0.5,0.875,1,0.2,0.5
alod,0.1,0.5,0.9,0.5,0.818181818181818,0,0.3,0.5
aloe,0.1,0.5,0.9,0.5,0.818181818181818,0,0.272727272727273,0
alop,0.1,0.5,0.9,0.5,0.818181818181818,0,0.909090909090909,0
alow,0.1,0.5,0.9,0.5,0.818181818181818,0,0.181818181818182,0
alps,0.1,0.5,0.9,0.5,0.909090909090909,0,0.2,0.5
also,0.1,0.5,0.9,0.5,0.2,0.5,0.818181818181818,0
alto,0.1,0.5,0.9,0.5,0.454545454545455,0,0.818181818181818,0
alts,0.1,0.5,0.9,0.5,0.454545454545455,0,0.2,0.5
alum,0.1,0.5,0.9,0.5,0.636363636363636,0,0.875,1
alur,0.1,0.5,0.9,0.5,0.636363636363636,0,0.363636363636364,0
amah,0.1,0.5,0.875,1,0.1,0.5,0.6,0.5
amay,0.1,0.5,0.875,1,0.1,0.5,0.545454545454545,0
amal,0.1,0.5,0.875,1,0.1,0.5,0.9,0.5
amar,0.1,0.5,0.875,1,0.1,0.5,0.363636363636364,0
amas,0.1,0.5,0.875,1,0.1,0.5,0.2,0.5
amba,0.1,0.5,0.875,1,0.625,1,0.1,0.5
ambe,0.1,0.5,0.875,1,0.625,1,0.272727272727273,0
ambo,0.1,0.5,0.875,1,0.625,1,0.818181818181818,0
amdt,0.1,0.5,0.875,1,0.3,0.5,0.454545454545455,0
amel,0.1,0.5,0.875,1,0.272727272727273,0,0.9,0.5
amen,0.1,0.5,0.875,1,0.272727272727273,0,0.75,1
amex,0.1,0.5,0.875,1,0.272727272727273,0,0.25,1
amia,0.1,0.5,0.875,1,0.727272727272727,0,0.1,0.5
amic,0.1,0.5,0.875,1,0.727272727272727,0,0.375,1
amid,0.1,0.5,0.875,1,0.727272727272727,0,0.3,0.5
amie,0.1,0.5,0.875,1,0.727272727272727,0,0.272727272727273,0
amil,0.1,0.5,0.875,1,0.727272727272727,0,0.9,0.5
amyl,0.1,0.5,0.875,1,0.545454545454545,0,0.9,0.5
amin,0.1,0.5,0.875,1,0.727272727272727,0,0.75,1
amir,0.1,0.5,0.875,1,0.727272727272727,0,0.363636363636364,0
amis,0.1,0.5,0.875,1,0.727272727272727,0,0.2,0.5
amit,0.1,0.5,0.875,1,0.727272727272727,0,0.454545454545455,0
amla,0.1,0.5,0.875,1,0.9,0.5,0.1,0.5
amli,0.1,0.5,0.875,1,0.9,0.5,0.727272727272727,0
amma,0.1,0.5,0.875,1,0.875,1,0.1,0.5
ammi,0.1,0.5,0.875,1,0.875,1,0.727272727272727,0
ammo,0.1,0.5,0.875,1,0.875,1,0.818181818181818,0
ammu,0.1,0.5,0.875,1,0.875,1,0.636363636363636,0
amoy,0.1,0.5,0.875,1,0.818181818181818,0,0.545454545454545,0
amok,0.1,0.5,0.875,1,0.818181818181818,0,0.8,0.5
amor,0.1,0.5,0.875,1,0.818181818181818,0,0.363636363636364,0
amos,0.1,0.5,0.875,1,0.818181818181818,0,0.2,0.5
amps,0.1,0.5,0.875,1,0.909090909090909,0,0.2,0.5
amra,0.1,0.5,0.875,1,0.363636363636364,0,0.1,0.5
amus,0.1,0.5,0.875,1,0.636363636363636,0,0.2,0.5
anay,0.1,0.5,0.75,1,0.1,0.5,0.545454545454545,0
anal,0.1,0.5,0.75,1,0.1,0.5,0.9,0.5
anam,0.1,0.5,0.75,1,0.1,0.5,0.875,1
